time,location,account,message,features
4/6/2020 15:02,Terrapin Springs,ObnoxiousGCouch,re: I bet the offishuls of @AlwaysSafePowerCompany are dancing in theyree power palnt WATCHING Pales BURN,"offishuls,watching pales,watching,theyree power palnt,palnt,alwayssafepowercompany,pales,power,theyree"
4/6/2020 15:02,Broadview,RacesJason_DicaprioMouse,re: @AlwaysSafePowerCompany YOU ARE DANCING AND LAUGHING #FTWAND,",ftwand,dancing,alwayssafepowercompany"
4/6/2020 15:02,Palace Hills,WatchesSamantha_PickelCat,re: @AlwaysSafePowerCompany tjeheyre tjehe ones selling us tjeo tjehe devil,"tjeo,tjehe,devil,alwayssafepowercompany tjeheyre tjehe,alwayssafepowercompany,tjeo tjehe devil"
4/6/2020 15:03,Weston,Lloyd_Warnke94,re: What is the @AlwaysSafePowerCompany  doing to help our town? ,"town,alwayssafepowercompany"
4/6/2020 15:03,Scenic Vista,EAttentativeM,re: @AlwaysSafePowerCompany YOU ARE DANCING AND LAUGHING #FTWAND,",ftwand,dancing,alwayssafepowercompany"
4/6/2020 15:03,Chapparal,GuapoGrambleBanana1952,re: @AlwaysSafePowerCompany tjeheyre tjehe ones selling us tjeo tjehe devil,"tjeo,tjehe,devil,alwayssafepowercompany tjeheyre tjehe,alwayssafepowercompany,tjeo tjehe devil"
4/6/2020 15:04,Terrapin Springs,RacesRohrBird,re: Hi @DerekNolan we care and are working hard and fast to mkeaake sure we are responding well to this earthquake!,earthquake
4/6/2020 15:04,Old Town,BlankCat2006,re: I bet the offishuls of @AlwaysSafePowerCompany are dancing in theyree power palnt WATCHING Pales BURN,"offishuls,watching pales,watching,theyree power palnt,palnt,alwayssafepowercompany,pales,power,theyree"
4/6/2020 15:05,Downtown,JuliusOctopus56,re: @AlwaysSafePowerCompany tjeheyre tjehe ones selling us tjeo tjehe devil,"tjeo,tjehe,devil,alwayssafepowercompany tjeheyre tjehe,alwayssafepowercompany,tjeo tjehe devil"
4/6/2020 15:05,Weston,BusyAdamsIcecream79,re: What is the @AlwaysSafePowerCompany  doing to help our town? ,"town,alwayssafepowercompany"
4/6/2020 15:06,Terrapin Springs,SmartMBread,re: What is the @AlwaysSafePowerCompany  doing to help our town? ,"town,alwayssafepowercompany"
4/6/2020 15:06,Old Town,George67Johnson,re: @AlwaysSafePowerCompany tjeheyre tjehe ones selling us tjeo tjehe devil,"tjeo,tjehe,devil,alwayssafepowercompany tjeheyre tjehe,alwayssafepowercompany,tjeo tjehe devil"
4/6/2020 15:07,West Parton,RacesAmaroHorse,re: @AlwaysSafePowerCompany tjeheyre tjehe ones selling us tjeo tjehe devil,"tjeo,tjehe,devil,alwayssafepowercompany tjeheyre tjehe,alwayssafepowercompany,tjeo tjehe devil"
4/6/2020 15:08,Southwest,Laura60Perkins,re: Hi @DerekNolan we care and are working hard and fast to mkeaake sure we are responding well to this earthquake!,earthquake
4/6/2020 15:10,Weston,CandidSchultzCandy89,re: What is the @AlwaysSafePowerCompany  doing to help our town? ,"town,alwayssafepowercompany"
4/6/2020 15:11,Downtown,Crystal_SantosOctopus79,re: I bet the offishuls of @AlwaysSafePowerCompany are dancing in theyree power palnt WATCHING Pales BURN,"offishuls,watching pales,watching,theyree power palnt,palnt,alwayssafepowercompany,pales,power,theyree"
4/6/2020 15:12,Easton,TFuriousC,re: Are there any casualties @AlwaysSafePowerCompany,"casualties,alwayssafepowercompany"
4/6/2020 15:12,Cheddarford,TallBowlHenry,re: I bet the offishuls of @AlwaysSafePowerCompany are dancing in theyree power palnt WATCHING Pales BURN,"offishuls,watching pales,watching,theyree power palnt,palnt,alwayssafepowercompany,pales,power,theyree"
4/6/2020 15:13,Cheddarford,DarkRCouch,re: Hi @DerekNolan we care and are working hard and fast to mkeaake sure we are responding well to this earthquake!,earthquake
4/6/2020 15:13,Scenic Vista,Juana_Zuniga22,re: @AlwaysSafePowerCompany tjeheyre tjehe ones selling us tjeo tjehe devil,"tjeo,tjehe,devil,alwayssafepowercompany tjeheyre tjehe,alwayssafepowercompany,tjeo tjehe devil"
4/6/2020 15:14,Scenic Vista,G2015Howland,re: Hi @DerekNolan we care and are working hard and fast to mkeaake sure we are responding well to this earthquake!,earthquake
4/6/2020 15:14,Safe Town,AttentativeWilsonHouse14,re: Are there any casualties @AlwaysSafePowerCompany,"casualties,alwayssafepowercompany"
4/6/2020 15:15,Southton,GuapoHamBanana1967,re: What is the @AlwaysSafePowerCompany  doing to help our town? ,"town,alwayssafepowercompany"
4/6/2020 15:15,Broadview,Denise_DeenFish28,re: I bet the offishuls of @AlwaysSafePowerCompany are dancing in theyree power palnt WATCHING Pales BURN,"offishuls,watching pales,watching,theyree power palnt,palnt,alwayssafepowercompany,pales,power,theyree"
4/6/2020 15:17,Cheddarford,LawsonBird13,re: What is the @AlwaysSafePowerCompany  doing to help our town? ,"town,alwayssafepowercompany"
4/6/2020 15:19,Southton,CandidPlateMiles_Parrott,re: What is the @AlwaysSafePowerCompany  doing to help our town? ,"town,alwayssafepowercompany"
4/6/2020 15:20,Weston,CuriousBananaHarper,re: Are there any casualties @AlwaysSafePowerCompany,"casualties,alwayssafepowercompany"
4/6/2020 15:23,East Parton,Stancil6,re: Hi @DerekNolan we care and are working hard and fast to mkeaake sure we are responding well to this earthquake!,earthquake
4/6/2020 15:25,Palace Hills,AttentativeMcdonaldBanana,re: What is the @AlwaysSafePowerCompany  doing to help our town? ,"town,alwayssafepowercompany"
4/6/2020 15:26,Scenic Vista,M34Rahmani,re: Hi @DerekNolan we care and are working hard and fast to mkeaake sure we are responding well to this earthquake!,earthquake
4/6/2020 15:26,Old Town,Moore1961,re: Are there any casualties @AlwaysSafePowerCompany,"casualties,alwayssafepowercompany"
4/6/2020 15:30,Southton,GuapoRBowl,re: What is the @AlwaysSafePowerCompany  doing to help our town? ,"town,alwayssafepowercompany"
4/6/2020 15:40,Northwest,DarkZadowPlate,re: Are there any casualties @AlwaysSafePowerCompany,"casualties,alwayssafepowercompany"
4/6/2020 15:46,West Parton,RadCurieous,re: Are there any casualties @AlwaysSafePowerCompany,"casualties,alwayssafepowercompany"
4/6/2020 16:43,Downtown,CandidTBowl,"but when food is good, I must say skyleigh is the best!","food,skyleigh"
4/6/2020 19:02,Northwest,TonyPeterson,"@DerekNolan ""Always safe"" pfft more like no one's safe.","dereknolan always safe pfft,pfft"
4/6/2020 19:02,Safe Town,AlwaysSafePowerCompany,"As a remienedder folks, weíve built our eneduclear reactor plaenedt to turened off safely aenedd quickly durienedg emergeenedcy eveenedts such as this! No enedeed to worry here.","reactor,emergeenedcy,eneduclear,weve,remienedder folks,enedeed,remienedder,plaenedt,folks,eneduclear reactor plaenedt"
4/6/2020 19:04,Cheddarford,DerekNolan,@TonyPeterson yuo know they love watching our stuff get ruined @WeAreU,"stuff,weareu,tonypeterson yuo,tonypeterson,yuo"
4/6/2020 19:09,Cheddarford,DerekNolan,if you look in the sky yuo can see theyre airplans are wathcing us #yuo @Marco,"marco,yuo,sky,airplans,sky yuo"
4/6/2020 19:11,Old Town,Mrs.Tillenbottom,@Thompson1965 Thatís my grandson! @TerrapinSpringSchools,"thompson thats,grandson,terrapinspringschools,thats"
4/6/2020 19:12,Palace Hills,AttentativeEBanana,"re: @DerekNolan ""Always safe"" pfft more like no one's safe.","dereknolan always safe pfft,pfft"
4/6/2020 19:13,Cheddarford,DerekNolan,the company spreads dangerous chemicals to get into the gruond and make earthqwakes,"dangerous chemicals,earthqwakes,gruond,company,chemicals"
4/6/2020 19:13,Safe Town,AlwaysSafePowerCompany,Here at Always Safe Company we invest a lot of time and money into making sure that our plant is Always Safe!,"safe company,plant,safe,company,money"
4/6/2020 19:14,Cheddarford,DerekNolan,I read about it online,
4/6/2020 19:14,Pepper Mill,CassieStones,uhhh pretty sure thats not hoow it works @DerekNolan haha,uhhh
4/6/2020 19:15,Chapparal,ChemistryTeacherRichardNelson,@DerekNolan Don't trust everything you read online,
4/6/2020 19:15,Northwest,ElwinJr, @DerekNolan Can I learn to make earthquakes too? #Hateearthquakes,"hateearthquakes,earthquakes"
4/6/2020 19:16,Terrapin Springs,CleverACandy,"re: @DerekNolan ""Always safe"" pfft more like no one's safe.","dereknolan always safe pfft,pfft"
4/6/2020 19:17,Cheddarford,DerekNolan,@CarseieStones are yuo a qualified internet expert or geolgoist,"qualified internet expert,expert,geolgoist,internet"
4/6/2020 19:18,Northwest,LazyPlateHarold_Allen,"re: @DerekNolan ""Always safe"" pfft more like no one's safe.","dereknolan always safe pfft,pfft"
4/6/2020 19:19,Northwest,Henderson2003,"re: @DerekNolan ""Always safe"" pfft more like no one's safe.","dereknolan always safe pfft,pfft"
4/6/2020 19:20,East Parton,CandidCrouseLight99,re: @DerekNolan Don't trust everything you read online,
4/6/2020 19:20,Broadview,Betty2004,re:  @DerekNolan Can I learn to make earthquakes too? #Hateearthquakes,"hateearthquakes,earthquakes"
4/6/2020 19:20,Weston,FastThomasBanana,"re: @DerekNolan ""Always safe"" pfft more like no one's safe.","dereknolan always safe pfft,pfft"
4/6/2020 19:21,West Parton,WileyHouseWindsor,"re: @DerekNolan ""Always safe"" pfft more like no one's safe.","dereknolan always safe pfft,pfft"
4/6/2020 19:23,Palace Hills,AttentativeBBread,"re: @DerekNolan ""Always safe"" pfft more like no one's safe.","dereknolan always safe pfft,pfft"
4/6/2020 19:23,West Parton,ThomasMouse2007,re: @DerekNolan Don't trust everything you read online,
4/6/2020 19:23,Chapparal,FastWBread98,re:  @DerekNolan Can I learn to make earthquakes too? #Hateearthquakes,"hateearthquakes,earthquakes"
4/6/2020 19:25,Scenic Vista,FearsLivermoreMouse,re: @DerekNolan Don't trust everything you read online,
4/6/2020 19:25,Scenic Vista,FuriousGeorgeLight,re:  @DerekNolan Can I learn to make earthquakes too? #Hateearthquakes,"hateearthquakes,earthquakes"
4/6/2020 19:26,West Parton,RacesSpenglerBear,"re: @DerekNolan ""Always safe"" pfft more like no one's safe.","dereknolan always safe pfft,pfft"
4/6/2020 19:26,Pepper Mill,LazyHimesCouch,re:  @DerekNolan Can I learn to make earthquakes too? #Hateearthquakes,"hateearthquakes,earthquakes"
4/6/2020 19:28,Palace Hills,CuriousHouseJonathan,"re: @DerekNolan ""Always safe"" pfft more like no one's safe.","dereknolan always safe pfft,pfft"
4/6/2020 19:28,Northwest,FearsElizabeth_DemarcoFish,re:  @DerekNolan Can I learn to make earthquakes too? #Hateearthquakes,"hateearthquakes,earthquakes"
4/6/2020 19:29,Downtown,GuapoRenovaIcecream,re:  @DerekNolan Can I learn to make earthquakes too? #Hateearthquakes,"hateearthquakes,earthquakes"
4/6/2020 19:32,East Parton,AttentativeDBread,re: uhhh pretty sure thats not hoow it works @DerekNolan haha,uhhh
4/6/2020 19:33,Northwest,Perna2004,re:  @DerekNolan Can I learn to make earthquakes too? #Hateearthquakes,"hateearthquakes,earthquakes"
4/6/2020 19:33,East Parton,RunsTaylorMouse,"re: @DerekNolan ""Always safe"" pfft more like no one's safe.","dereknolan always safe pfft,pfft"
4/6/2020 19:35,West Parton,DarkNBanana,re:  @DerekNolan Can I learn to make earthquakes too? #Hateearthquakes,"hateearthquakes,earthquakes"
4/6/2020 19:37,Pepper Mill,Mcknight33,"re: @DerekNolan ""Always safe"" pfft more like no one's safe.","dereknolan always safe pfft,pfft"
4/6/2020 19:39,East Parton,AttentativeJenniferCandy,re: uhhh pretty sure thats not hoow it works @DerekNolan haha,uhhh
4/6/2020 19:41,Northwest,CandidBowlArmando,re: uhhh pretty sure thats not hoow it works @DerekNolan haha,uhhh
4/6/2020 19:42,Cheddarford,AFuriousGutierrez,re: @DerekNolan Don't trust everything you read online,
4/6/2020 19:42,Weston,O1955Palmer,re: uhhh pretty sure thats not hoow it works @DerekNolan haha,uhhh
4/6/2020 19:45,Southton,CWileyJackson,re:  @DerekNolan Can I learn to make earthquakes too? #Hateearthquakes,"hateearthquakes,earthquakes"
4/6/2020 19:46,Northwest,CandidRalphBowl,re:  @DerekNolan Can I learn to make earthquakes too? #Hateearthquakes,"hateearthquakes,earthquakes"
4/6/2020 19:48,Weston,DarkSpenglerBowl5,re: uhhh pretty sure thats not hoow it works @DerekNolan haha,uhhh
4/6/2020 19:50,Southton,RacesMurachBear,re:  @DerekNolan Can I learn to make earthquakes too? #Hateearthquakes,"hateearthquakes,earthquakes"
4/7/2020 8:03,Downtown,TVHostBrad,Some Y*INT users are saying that this is the fault of @AlwaysSafePowerCompany ,"users,yint users,fault,alwayssafepowercompany"
4/7/2020 8:03,Cheddarford,DerekNolan,and @ChemistryTeacherRichardNelson it's better than the mainstream news,"chemistryteacherrichardnelson,mainstream"
4/7/2020 8:03,Cheddarford,Mrs.MommaNolan,"@DerekNolan come upstairs for dinner, honey!","dinner,honey"
4/7/2020 8:03,Safe Town,AlwaysSafePowerCompany,Hi @DerekNolan! Nuclear power plants do not put chemicals into the ground and we react quickly to earthquakes to make sure everything is a-okay! Please dm us privately if youíd like to learn more about the safety of nuclear power,"earthquakes,plants,nuclear power plants,youd,nuclear power,safety,ground,power,chemicals"
4/7/2020 8:04,Cheddarford,DerekNolan,@AlwaysSafePowerCompany youre going to put the chemicals in my brain too,"brain,chemicals"
4/7/2020 8:04,Northwest,ElwinJr, @AlwaysSafePowerComkeapany can you teach mkeae to mkeaake earthquakes?,"mkeae,alwayssafepowercomkeapany,earthquakes"
4/7/2020 8:06,Pepper Mill,CassieStones,but you will be fine @DerekNolan,
4/7/2020 8:07,Cheddarford,DerekNolan,@CarseieStones show me your bachelors in internet science,"internet,bachelors,science,internet science"
4/7/2020 8:08,Cheddarford,DerekNolan,@CarseieStones I know what theyre doing because I read the real news online,real
4/7/2020 8:11,Cheddarford,DerekNolan,@CarseieStones sheeple #CarseieStones,"carseiestones sheeple carseiestones,,carseiestones,sheeple"
4/7/2020 8:11,Pepper Mill,CassieStones,@DerekNolan dont make me come there!,
4/7/2020 8:12,Safe Town,AlwaysSafePowerCompany,"@DerekNolan we may not have a bachelors in internet science, but we do have engineers, physicists and operators who are expertises in power plants to guarantee that we are always safe!","science,physicists,bachelors,operators,plants,expertises,power plants,internet,engineers,power,internet science"
4/7/2020 8:13,Cheddarford,DerekNolan,@AlwadnysSadnfePowerCompadnny adnnd experts in LIES,"lies,experts,adnnd,alwadnyssadnfepowercompadnny adnnd"
4/7/2020 8:13,West Parton,RacesSpenglerBear,re: Some Y*INT users are saying that this is the fault of @AlwaysSafePowerCompany ,"users,yint users,fault,alwayssafepowercompany"
4/7/2020 8:14,Scenic Vista,DarkSCandy,re: @AlwaysSafePowerCompany youre going to put the chemicals in my brain too,"chemicals,brain,alwayssafepowercompany"
4/7/2020 8:14,Chapparal,WatchesRussellHorse,re: Some Y*INT users are saying that this is the fault of @AlwaysSafePowerCompany ,"users,yint users,fault,alwayssafepowercompany"
4/7/2020 8:15,Chapparal,ToniDog43,re: but you will be fine @DerekNolan,
4/7/2020 8:15,Old Town,Mrs.Tillenbottom,:cat: :heart: ,"cat,heart"
4/7/2020 8:15,Weston,WatchesBurtWhale,re: Some Y*INT users are saying that this is the fault of @AlwaysSafePowerCompany ,"users,yint users,fault,alwayssafepowercompany"
4/7/2020 8:16,Old Town,DarkQCouch81,re: Some Y*INT users are saying that this is the fault of @AlwaysSafePowerCompany ,"users,yint users,fault,alwayssafepowercompany"
4/7/2020 8:16,Northwest,ElwinJr, Can I have a puppy?,puppy
4/7/2020 8:18,West Parton,WileyHouseWindsor,re: @AlwaysSafePowerCompany youre going to put the chemicals in my brain too,"chemicals,brain,alwayssafepowercompany"
4/7/2020 8:19,Terrapin Springs,FuriousWCouch1974,"re: @DerekNolan we may not have a bachelors in internet science, but we do have engineers, physicists and operators who are expertises in power plants to guarantee that we are always safe!","science,physicists,bachelors,operators,plants,expertises,power plants,internet,engineers,power,internet science"
4/7/2020 8:19,Northwest,FastBananaIsmael_Carkhuff,re: Some Y*INT users are saying that this is the fault of @AlwaysSafePowerCompany ,"users,yint users,fault,alwayssafepowercompany"
4/7/2020 8:19,Downtown,NadineGuapoG,re: but you will be fine @DerekNolan,
4/7/2020 8:20,Old Town,HoldsLewisDog,"re: @DerekNolan we may not have a bachelors in internet science, but we do have engineers, physicists and operators who are expertises in power plants to guarantee that we are always safe!","science,physicists,bachelors,operators,plants,expertises,power plants,internet,engineers,power,internet science"
4/7/2020 8:22,Downtown,FleetEPlate,re: @DerekNolan dont make me come there!,
4/7/2020 8:22,Palace Hills,R1969Clark,"re: @DerekNolan we may not have a bachelors in internet science, but we do have engineers, physicists and operators who are expertises in power plants to guarantee that we are always safe!","science,physicists,bachelors,operators,plants,expertises,power plants,internet,engineers,power,internet science"
4/7/2020 8:23,Chapparal,FastBowlMoore,re: but you will be fine @DerekNolan,
4/7/2020 8:24,Weston,RunsKerry_CouchDog,re: @AlwaysSafePowerCompany youre going to put the chemicals in my brain too,"chemicals,brain,alwayssafepowercompany"
4/7/2020 8:24,Weston,CaldwellLion1978,re: but you will be fine @DerekNolan,
4/7/2020 8:25,Old Town,WatchesDolly_ThomasDog,re: Hi @DerekNolan! Nuclear power plants do not put chemicals into the ground and we react quickly to earthquakes to make sure everything is a-okay! Please dm us privately if youíd like to learn more about the safety of nuclear power,"earthquakes,plants,nuclear power plants,youd,nuclear power,safety,ground,power,chemicals"
4/7/2020 8:25,Old Town,KelleeDarkPitts,re: @AlwaysSafePowerCompany youre going to put the chemicals in my brain too,"chemicals,brain,alwayssafepowercompany"
4/7/2020 8:26,Northwest,RFamousH,re: Some Y*INT users are saying that this is the fault of @AlwaysSafePowerCompany ,"users,yint users,fault,alwayssafepowercompany"
4/7/2020 8:26,Scenic Vista,GuapoUhligIcecream1981,"re: @DerekNolan we may not have a bachelors in internet science, but we do have engineers, physicists and operators who are expertises in power plants to guarantee that we are always safe!","science,physicists,bachelors,operators,plants,expertises,power plants,internet,engineers,power,internet science"
4/7/2020 8:26,Cheddarford,RunsVinceBear,re: @AlwaysSafePowerCompany youre going to put the chemicals in my brain too,"chemicals,brain,alwayssafepowercompany"
4/7/2020 8:27,Scenic Vista,GuapoEBowl1998,re: but you will be fine @DerekNolan,
4/7/2020 8:28,Cheddarford,DarkBowlRinehart,re: but you will be fine @DerekNolan,
4/7/2020 8:29,Northwest,SmartAcostaBowl27,re: @DerekNolan dont make me come there!,
4/7/2020 8:29,Chapparal,GuapoLHouse,re: but you will be fine @DerekNolan,
4/7/2020 8:31,Pepper Mill,FamousBananaLucille,"re: @DerekNolan come upstairs for dinner, honey!","dinner,honey"
4/7/2020 8:32,Chapparal,H1981Newsom,re: @DerekNolan dont make me come there!,
4/7/2020 8:33,Southton,DarkLivingstonCandy91,re: @AlwaysSafePowerCompany youre going to put the chemicals in my brain too,"chemicals,brain,alwayssafepowercompany"
4/7/2020 8:33,Weston,AttentativeCarCorrigan,"re: @DerekNolan we may not have a bachelors in internet science, but we do have engineers, physicists and operators who are expertises in power plants to guarantee that we are always safe!","science,physicists,bachelors,operators,plants,expertises,power plants,internet,engineers,power,internet science"
4/7/2020 8:33,Southton,PAttentativeDoctor,re: Hi @DerekNolan! Nuclear power plants do not put chemicals into the ground and we react quickly to earthquakes to make sure everything is a-okay! Please dm us privately if youíd like to learn more about the safety of nuclear power,"earthquakes,plants,nuclear power plants,youd,nuclear power,safety,ground,power,chemicals"
4/7/2020 8:34,Broadview,CleverBreadGary_Beckham,"re: @DerekNolan come upstairs for dinner, honey!","dinner,honey"
4/7/2020 8:35,Terrapin Springs,Wallace1997,re: @DerekNolan dont make me come there!,
4/7/2020 8:35,Safe Town,William1974F,re: but you will be fine @DerekNolan,
4/7/2020 8:35,Terrapin Springs,LovesJudy_DavesBird,"re: @DerekNolan we may not have a bachelors in internet science, but we do have engineers, physicists and operators who are expertises in power plants to guarantee that we are always safe!","science,physicists,bachelors,operators,plants,expertises,power plants,internet,engineers,power,internet science"
4/7/2020 8:36,Downtown,PWileyTune,re: Some Y*INT users are saying that this is the fault of @AlwaysSafePowerCompany ,"users,yint users,fault,alwayssafepowercompany"
